name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,dissolution_date,date_of_organization_meeting,reason_for_administrative,mailing_address
AMALIAS J & J WIRELESS & ACCESSORIES LLC,LLC,Active,Annual report past due,1360993,2021-03-31,218 MARTIN ST 1ST FL,HARTFORD,United States,06120,CT,MIGUEL.CORREA@SUNRISETAX.NET,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:46.5266667,,,,,,,,,,,,,,,,,,,,,,
ADVANTAGE HOME SERVICES OF CT LLC,LLC,Active,Annual report past due,1361002,2021-03-31,5726 MAIN ST,TRUMBULL,United States,06611,CT,ADVANTAGEHOMESERVICESCT@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:35.5566667,,,,,,,,,,,,,,,,,,,,,,
CATALINA MARCOS JIMENEZ DE MEJIA LLC,LLC,Active,Annual report past due,1361004,2021-03-31,34 GRAND ST APT 2,DANBURY,United States,06810,CT,KARENVALLEJOS@LIVE.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:35.5566667,,,,,,,,,,,,,,,,,,,,,,
"NES ASSURANCE, LLC",LLC,Active,,1361005,2022-03-31,"1 WASHINGTON STREET, SUITE 4144",DOVER,United States,03820,NH,taylor@pattoncompliance.com,Foreign,2020-10-01,NH,NH,False,False,False,False,False,Third Party Administration of Insurance and Pension Funds (524292),524292.0,2021-11-10 00:12:35.5566667,2020-10-01,"NES ASSURANCE, LLC",United States,"1 WASHINGTON STREET, SUITE 4144, DOVER, NH, 03820, United States","1 WASHINGTON STREET, SUITE 4144",DOVER,NH,03820,United States,"1 WASHINGTON STREET, SUITE 4144, DOVER, NH, 03820, United States","1 WASHINGTON STREET, SUITE 4144",DOVER,NH,03820,United States,,,,,,,
SEBASTIAN SERVICES LLC,LLC,Active,Annual report past due,1361006,2021-03-31,5 HARRISON ST,DANBURY,United States,06810,CT,KARENVALLEJOS@LIVE.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:35.5566667,,,,,,,,,,,,,,,,,,,,,,
YJ HARDWOOD FLOORS LLC,LLC,Active,Annual report past due,1361009,2021-03-31,149 SALEM ST,BRIDGEPORT,United States,06606,CT,YJHARDWOODFLOORSLLC@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Flooring Contractors (238330),238330.0,2021-11-10 00:12:35.5566667,,,,,,,,,,,,,,,,,,,,,,
GOLD COAST LLC,LLC,Active,Annual report past due,1361010,2021-03-31,20 VIRGINIA DRIVE,EASTON,United States,06612,CT,GOLDCOASTHOUSES@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:35.5566667,,,,,,,,,,,,,,,,,,,,,,
98 THURTON LLC,LLC,Active,Annual report past due,1361012,2021-03-31,366 NORTH BROADWAY SUITE 410,JERICHO,United States,11753,NY,WOODCRESTHOMES@OPTONLINE.NET,Domestic,2020-10-01,NY,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),236117.0,2021-11-10 00:12:35.5566667,,,,,,,,,,,,,,,,,,,,,,
ZONE 1 SOCCER LLC,LLC,Active,Annual report past due,1361014,2021-03-31,13 RIDGE ROAD,DANBURY,United States,06810,CT,BRIANWALSH82@YAHOO.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Sports and Recreation Instruction (611620),611620.0,2021-11-10 00:12:35.5566667,,,,,,,,,,,,,,,,,,,,,,
"HIGH QUALITY CARE (CT), INC.",Stock,Active,First report past due,1361016,2020-12-30,No information provided,,,,,RICH.FINLEY01@GMAIL.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Services for the Elderly and Persons with Disabilities (624120),624120.0,2021-11-10 00:12:35.5566667,,,,,,,,,,,,,,,,1000.0,,,,,,
CASH'S COUNTRY STORE LLC,LLC,Active,Annual report past due,1361017,2021-03-31,261 FERENCE ROAD,ASHFORD,United States,06278,CT,NANCY.BLACKMER@SCAPA.COM,Domestic,2020-10-01,CT,Connecticut,False,False,False,False,False,Convenience Stores (445120),445120.0,2021-11-10 00:12:35.5566667,,,,,,,,,,,,,,,,,,,,,,
